,year,id_c,county,state,grund,rate_gw,treated_b,high_gw_rate,rate_change,first_rate_change_year,ever_treated,rate_change_treatment_indicator,event_time_rate_change,eigengewinnung,fremdbezug,n_betriebe_eg,match_rpf_sa,high_gw_cont,gdp,gdp_pw,gdp_pc,perc_gruene,mean_precip,pop_density,betrieb_wassernutzung,grund_perfirm,log_grund_perfirm
94,2019,5566,Steinfurt,5,2062.0,0.05,1,0,0,2010.0,1,1,9.0,44473.0,3448.0,42.0,False,0.16129032258064518,15090547.0,65805.0,33690.0,0.05815413238441877,751.075,249.6,33794,49.11904761904762,3.8942468947878837
95,2019,5570,Warendorf,5,1116.0,0.05,1,0,0,2010.0,1,1,9.0,3098.0,1430.0,30.0,False,0.16129032258064518,9083121.0,66977.0,32695.0,0.05599761289039188,671.75,210.6,2704,37.233333333333334,3.6172044174070455
96,2019,5711,Bielefeld,5,3164.0,0.05,1,0,0,2010.0,1,1,9.0,4368.0,830.0,19.0,False,0.16129032258064518,14210978.0,65914.0,42549.0,0.09837799717912553,849.8499999999999,1291.2,4915,166.57894736842104,5.115469355411836
97,2019,5754,Gütersloh,5,2829.0,0.05,1,0,0,2010.0,1,1,9.0,3406.0,3880.0,55.0,False,0.16129032258064518,18355465.0,78782.0,50356.0,0.06826703110609347,675.0666666666667,376.5,7147,51.45454545454545,3.9406988054048124
98,2019,5758,Herford,5,86.0,0.05,1,0,0,2010.0,1,1,9.0,464.0,695.0,13.0,False,0.16129032258064518,8824711.0,68651.0,35203.0,0.06123363970271249,646.4,556.3,1144,6.6923076923076925,1.900958761193047
99,2019,5762,Höxter,5,1374.0,0.05,1,0,0,2010.0,1,1,9.0,1798.0,391.0,18.0,False,0.16129032258064518,4077131.0,62730.0,29027.0,0.04352275052868545,754.125,116.7,2153,76.38888888888889,4.335837252204507
100,2019,5766,Lippe,5,272.0,0.05,1,0,0,2010.0,1,1,9.0,2336.0,2114.0,26.0,False,0.16129032258064518,10947453.0,67310.0,31462.0,0.0602069336358748,889.3,278.9,4448,10.5,2.3513752571634776
101,2019,5770,Minden-Lübbecke,5,3779.0,0.05,1,0,0,2010.0,1,1,9.0,24121.0,1289.0,28.0,False,0.16129032258064518,13388462.0,77631.0,43111.0,0.05702371105596912,628.2666666666668,269.4,25147,135.0,4.90527477843843
102,2019,5774,Paderborn,5,1427.0,0.05,1,0,0,2010.0,1,1,9.0,8206.0,1283.0,23.0,False,0.16129032258064518,11370973.0,67880.0,36995.0,0.06087913599779872,734.3,246.9,9178,62.08695652173913,4.12853592697038
103,2019,5911,Bochum,5,,0.05,1,0,0,2010.0,1,1,9.0,188.0,3625.0,7.0,False,0.16129032258064518,12774767.0,66801.0,34989.0,0.07218604651162791,,2509.9,3714,,
104,2019,5913,Dortmund,5,,0.05,1,0,0,2010.0,1,1,9.0,912.0,3736.0,5.0,False,0.16129032258064518,23960632.0,71773.0,40775.0,0.07305735629570984,,2095.6,4575,,
105,2019,5954,Ennepe-Ruhr-Kreis,5,310.0,0.05,1,0,0,2010.0,1,1,9.0,93335.0,2071.0,17.0,False,0.16129032258064518,10103022.0,67410.0,31163.0,0.06326274228284279,750.25,791.2,95311,18.294117647058822,2.906579568123018
106,2019,5914,Hagen,5,5294.0,0.05,1,0,0,2010.0,1,1,9.0,21705.0,937.0,23.0,False,0.16129032258064518,6564750.0,66622.0,34780.0,0.04450532801373668,,1176.0,14832,230.2173913043478,5.439024042106357
107,2019,5915,Hamm,5,,0.05,1,0,0,2010.0,1,1,9.0,6020.0,2498.0,5.0,False,0.16129032258064518,5464517.0,64959.0,30441.0,0.04220389710432268,,794.5,8180,,
108,2019,5916,Herne,5,,0.05,1,0,0,2010.0,1,1,9.0,4513.0,1944.0,3.0,False,0.16129032258064518,4131188.0,65302.0,26412.0,0.0472888536682008,,3042.6,6455,,
