GENESIS-Tabelle: 14345-01-04-4
Landtagswahlen: Sachsen-Anhalt - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Sachsen-Anhalt;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
20.03.2011;15370;    Altmarkkreis Salzwedel, Kreis;-;-;-;-;-;-;-;-;-;-
26.03.2006;15;Sachsen-Anhalt;2078659;44,4;902254;326721;192754;32117;60209;217295;-;73158
26.03.2006;15001;    Dessau-Roßlau, kreisfreie Stadt;78886;46,1;35773;13228;7393;1690;2272;8790;-;2400
26.03.2006;15002;    Halle (Saale), kreisfreie Stadt;195542;45,4;86978;27321;19343;6066;5966;22395;-;5887
26.03.2006;15003;    Magdeburg, kreisfreie Stadt, Landeshauptstadt;192685;47,4;89531;29922;21077;5040;4808;22894;-;5790
26.03.2006;15081;    Altmarkkreis Salzwedel;79614;44,7;34927;12701;7743;1022;2272;8476;-;2713
26.03.2006;15082;    Anhalt-Bitterfeld, Landkreis;160952;43,3;68037;24513;15149;1784;4878;15784;-;5929
26.03.2006;15083;    Börde, Landkreis;159362;45,4;70604;26793;14959;1962;4964;15730;-;6196
26.03.2006;15084;    Burgenlandkreis;176336;42,4;73114;26087;14573;1833;5289;17710;-;7622
26.03.2006;15085;    Harz, Landkreis;209754;44,4;90939;32616;20060;3153;6021;21240;-;7849
26.03.2006;15086;    Jerichower Land, Landkreis;86195;44,8;37534;14638;7910;1154;2449;8624;-;2759
26.03.2006;15087;    Mansfeld-Südharz, Landkreis;139855;45,1;61353;22027;12798;1290;4224;15546;-;5468
26.03.2006;15088;    Saalekreis;175445;44,3;75737;28109;15017;2098;5978;17646;-;6889
26.03.2006;15089;    Salzlandkreis;191671;41,4;77304;27662;16686;2291;5187;19532;-;5946
26.03.2006;15090;    Stendal, Landkreis;108203;39,8;42319;16184;9216;1209;2252;10529;-;2929
26.03.2006;15091;    Wittenberg, Landkreis;124159;47,9;58104;24920;10830;1525;3649;12399;-;4781
26.03.2006;151;  Dessau, Statistische Region;424031;45,0;186683;71409;38819;5622;12698;43178;-;14957
26.03.2006;15101;    Dessau, kreisfreie Stadt;66927;46,3;30480;11157;6273;1509;1904;7631;-;2006
26.03.2006;15151;    Anhalt-Zerbst, Kreis;58593;47,1;27126;10034;6404;854;1698;5846;-;2290
26.03.2006;15153;    Bernburg, Kreis;55664;41,9;22739;7942;5049;566;1752;5762;-;1668
26.03.2006;15154;    Bitterfeld, Kreis;84577;41,8;34521;13094;7323;849;2631;7694;-;2930
26.03.2006;15159;    Köthen, Kreis;54980;44,5;23800;8469;4927;617;1672;6037;-;2078
26.03.2006;15171;    Wittenberg, Kreis;103290;47,5;48017;20713;8843;1227;3041;10208;-;3985
26.03.2006;152;  Halle, Statistische Region;687178;44,3;297182;103544;61731;11287;21457;73297;-;25866
26.03.2006;15202;    Halle (Saale), kreisfreie Stadt;195542;45,4;86978;27321;19343;6066;5966;22395;-;5887
26.03.2006;15256;    Burgenlandkreis;113593;42,5;47200;17326;8751;1239;3653;11107;-;5124
26.03.2006;15260;    Mansfelder Land, Kreis;85910;46,0;38407;13440;8470;766;2402;10127;-;3202
26.03.2006;15261;    Merseburg-Querfurt, Kreis;110913;42,3;45839;16349;9380;1245;3404;11197;-;4264
26.03.2006;15265;    Saalkreis;64532;47,8;29898;11760;5637;853;2574;6449;-;2625
26.03.2006;15266;    Sangerhausen, Kreis;53945;43,7;22946;8587;4328;524;1822;5419;-;2266
26.03.2006;15268;    Weißenfels, Kreis;62743;42,3;25914;8761;5822;594;1636;6603;-;2498
26.03.2006;153;  Magdeburg, Statistische Region;967450;44,3;418389;151768;92204;15208;26054;100820;-;32335
26.03.2006;15303;    Magdeburg, kreisfreie Stadt;192685;47,4;89531;29922;21077;5040;4808;22894;-;5790
26.03.2006;15352;    Aschersleben-Staßfurt, Kreis;80520;40,1;31514;10713;7298;793;1860;8286;-;2564
26.03.2006;15355;    Bördekreis;63653;44,9;27744;9900;6342;635;2056;6016;-;2795
26.03.2006;15357;    Halberstadt, Kreis;63873;41,9;26112;9428;5613;877;1610;6586;-;1998
26.03.2006;15358;    Jerichower Land, Kreis;81825;44,7;35504;13832;7512;1097;2302;8181;-;2580
26.03.2006;15362;    Ohrekreis;95709;45,8;42860;16893;8617;1327;2908;9714;-;3401
26.03.2006;15363;    Stendal, Kreis;108203;39,8;42319;16184;9216;1209;2252;10529;-;2929
26.03.2006;15364;    Quedlinburg, Kreis;62380;44,4;27028;9713;5612;985;2151;6365;-;2202
26.03.2006;15367;    Schönebeck, Kreis;60880;43,0;25504;9864;4868;983;1756;6122;-;1911
26.03.2006;15369;    Wernigerode, Kreis;78108;46,3;35346;12618;8306;1240;2079;7651;-;3452
26.03.2006;15370;    Altmarkkreis Salzwedel, Kreis;79614;44,7;34927;12701;7743;1022;2272;8476;-;2713
21.04.2002;15;Sachsen-Anhalt;2109428;56,5;1160985;433521;231732;22696;154145;236484;-;82407
21.04.2002;15001;    Dessau-Roßlau, kreisfreie Stadt;.;.;.;.;.;.;.;.;-;.
21.04.2002;15002;    Halle (Saale), kreisfreie Stadt;196173;56,9;109516;32691;20636;4116;19093;26352;-;6628
21.04.2002;15003;    Magdeburg, kreisfreie Stadt, Landeshauptstadt;189425;58,4;108516;36101;23645;3042;16987;22916;-;5825
21.04.2002;15081;    Altmarkkreis Salzwedel;80385;55,8;43635;15675;9495;893;5487;9146;-;2939
21.04.2002;15082;    Anhalt-Bitterfeld, Landkreis;.;.;.;.;.;.;.;.;-;.
21.04.2002;15083;    Börde, Landkreis;.;.;.;.;.;.;.;.;-;.
21.04.2002;15084;    Burgenlandkreis;.;.;.;.;.;.;.;.;-;.
21.04.2002;15085;    Harz, Landkreis;.;.;.;.;.;.;.;.;-;.
21.04.2002;15086;    Jerichower Land, Landkreis;.;.;.;.;.;.;.;.;-;.
21.04.2002;15087;    Mansfeld-Südharz, Landkreis;.;.;.;.;.;.;.;.;-;.
21.04.2002;15088;    Saalekreis;.;.;.;.;.;.;.;.;-;.
21.04.2002;15089;    Salzlandkreis;.;.;.;.;.;.;.;.;-;.
21.04.2002;15090;    Stendal, Landkreis;109986;55,5;59242;23258;12465;1062;6540;11962;-;3955
21.04.2002;15091;    Wittenberg, Landkreis;.;.;.;.;.;.;.;.;-;.
21.04.2002;151;  Dessau, Statistische Region;437547;57,2;243749;93532;47864;4436;29813;48667;-;19437
21.04.2002;15101;    Dessau, kreisfreie Stadt;67442;57,0;37809;12802;8267;1232;5014;7948;-;2546
21.04.2002;15151;    Anhalt-Zerbst, Kreis;62982;56,9;34883;13491;6428;843;4793;6805;-;2523
