GENESIS-Tabelle: 14336-01-03-4
Landtagswahlen: Hessen - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, G¸ltige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. St‰dte;;;;;;;;;;;;
Landtagswahlen: Hessen;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen;G¸ltige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GR‹NE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
27.01.2008;06412;    Frankfurt am Main, kreisfreie Stadt;392163;62,6;241371;80238;80811;27710;26064;17099;-;9449
27.01.2008;06413;    Offenbach am Main, kreisfreie Stadt;66858;56,9;37053;12601;12892;3903;3101;2432;-;2124
27.01.2008;06414;    Wiesbaden, kreisfreie Stadt, Landeshauptstadt;186177;60,8;111125;40106;39112;10288;11840;5621;-;4158
27.01.2008;06431;    Bergstraﬂe, Landkreis;198674;60,9;118392;47418;42448;7276;10137;4674;-;6439
27.01.2008;06432;    Darmstadt-Dieburg, Landkreis;210248;67,9;139146;48284;54543;11456;12720;6284;-;5859
27.01.2008;06433;    Groﬂ-Gerau, Landkreis;170454;65,0;107827;35636;42470;9941;8124;5452;-;6204
27.01.2008;06434;    Hochtaunuskreis;162757;71,1;113870;50884;29656;9090;16146;4441;-;3653
27.01.2008;06435;    Main-Kinzig-Kreis;297453;63,2;182775;73393;63402;11128;15929;9255;-;9668
27.01.2008;06436;    Main-Taunus-Kreis;162616;71,3;113744;48644;31095;10217;15218;4063;-;4507
27.01.2008;06437;    Odenwaldkreis;73505;64,2;45880;16370;18481;2665;3335;2630;-;2399
27.01.2008;06438;    Offenbach, Landkreis;236304;65,6;151403;63103;48015;12212;15370;6377;-;6326
27.01.2008;06439;    Rheingau-Taunus-Kreis;137512;68,5;92557;36173;32527;6889;9955;3379;-;3634
27.01.2008;06440;    Wetteraukreis;221176;65,0;137863;54263;47779;8695;13171;6092;-;7863
27.01.2008;065;  Gieﬂen, Regierungsbezirk;793934;62,9;488964;180830;190871;28273;41617;24607;-;22766
27.01.2008;06531;    Gieﬂen, Landkreis;192517;65,0;122539;40595;49461;8470;11117;6208;-;6688
27.01.2008;06532;    Lahn-Dill-Kreis;194389;59,2;112442;45075;42646;5105;8785;5308;-;5523
27.01.2008;06533;    Limburg-Weilburg, Landkreis;131797;61,8;79565;36443;25257;3945;7218;3300;-;3402
27.01.2008;06534;    Marburg-Biedenkopf, Landkreis;184555;64,3;116603;37882;50482;8215;9260;6956;-;3808
27.01.2008;06535;    Vogelsbergkreis;90676;65,5;57815;20835;23025;2538;5237;2835;-;3345
27.01.2008;066;  Kassel, Regierungsbezirk;962818;63,9;597358;203906;247289;38044;49899;34403;-;23817
27.01.2008;06611;    Kassel, kreisfreie Stadt, documenta-Stadt;139746;58,5;79783;21086;33779;9508;6014;6750;-;2646
27.01.2008;06631;    Fulda, Landkreis;167568;64,4;105187;52367;28311;5305;10263;4532;-;4409
27.01.2008;06632;    Hersfeld-Rotenburg, Landkreis;99464;64,3;62213;21330;28033;2603;4497;2918;-;2832
27.01.2008;06633;    Kassel, Landkreis;191871;65,9;122363;35278;58784;7855;8787;7441;-;4218
27.01.2008;06634;    Schwalm-Eder-Kreis;148570;67,5;96611;28101;44442;5240;8722;5356;-;4750
27.01.2008;06635;    Waldeck-Frankenberg, Landkreis;129123;61,1;77127;28418;29694;4465;7778;3833;-;2939
27.01.2008;06636;    Werra-Meiﬂner-Kreis;86476;64,7;54074;17326;24246;3068;3838;3573;-;2023
02.02.2003;06;Hessen;4330792;64,6;2734992;1333863;795576;276276;216110;x;-;113167
02.02.2003;064;  Darmstadt, Regierungsbezirk;2582341;64,8;1638985;797022;441034;188644;138337;x;-;73948
02.02.2003;06411;    Darmstadt, kreisfreie Stadt, Wissenschaftsstadt;96468;64,2;60640;23497;17374;11610;5671;x;-;2488
02.02.2003;06412;    Frankfurt am Main, kreisfreie Stadt;381027;61,1;228596;96924;60481;39410;20347;x;-;11434
02.02.2003;06413;    Offenbach am Main, kreisfreie Stadt;67636;57,2;37958;17586;10026;4846;2769;x;-;2731
02.02.2003;06414;    Wiesbaden, kreisfreie Stadt, Landeshauptstadt;185378;62,1;113003;53410;31614;13714;9778;x;-;4487
02.02.2003;06431;    Bergstraﬂe, Landkreis;195902;63,0;120446;63807;34738;9314;8201;x;-;4386
02.02.2003;06432;    Darmstadt-Dieburg, Landkreis;207694;66,5;134980;63303;40138;15054;10347;x;-;6138
02.02.2003;06433;    Groﬂ-Gerau, Landkreis;168855;65,1;107192;46033;33365;13179;6930;x;-;7685
02.02.2003;06434;    Hochtaunuskreis;162952;69,8;112144;58935;23357;12002;14232;x;-;3618
02.02.2003;06435;    Main-Kinzig-Kreis;294163;63,5;182360;93050;52002;15276;12940;x;-;9092
02.02.2003;06436;    Main-Taunus-Kreis;161063;71,2;112880;57790;22842;13652;13270;x;-;5326
02.02.2003;06437;    Odenwaldkreis;72868;66,1;45554;21717;16101;3403;2486;x;-;1847
02.02.2003;06438;    Offenbach, Landkreis;235168;66,7;153702;82019;36844;15968;12321;x;-;6550
02.02.2003;06439;    Rheingau-Taunus-Kreis;136128;68,1;91029;47603;23350;9171;7871;x;-;3034
02.02.2003;06440;    Wetteraukreis;217039;65,3;138501;71348;38802;12045;11174;x;-;5132
02.02.2003;065;  Gieﬂen, Regierungsbezirk;785006;63,3;486517;245695;146780;38778;36599;x;-;18665
02.02.2003;06531;    Gieﬂen, Landkreis;187146;64,4;117970;55072;36163;11680;10733;x;-;4322
02.02.2003;06532;    Lahn-Dill-Kreis;193540;60,9;115319;59874;35075;6980;7887;x;-;5503
02.02.2003;06533;    Limburg-Weilburg, Landkreis;130402;63,8;81254;47126;20973;4871;5881;x;-;2403
02.02.2003;06534;    Marburg-Biedenkopf, Landkreis;182175;63,5;113799;53549;36724;11677;7580;x;-;4269
02.02.2003;06535;    Vogelsbergkreis;91743;64,9;58175;30074;17845;3570;4518;x;-;2168
02.02.2003;066;  Kassel, Regierungsbezirk;963445;65,1;609490;291146;207762;48854;41174;x;-;20554
02.02.2003;06611;    Kassel, kreisfreie Stadt, documenta-Stadt;137740;59,8;80887;32054;26865;13449;5758;x;-;2761
02.02.2003;06631;    Fulda, Landkreis;163875;67,3;108256;73509;19032;6145;5956;x;-;3614
02.02.2003;06632;    Hersfeld-Rotenburg, Landkreis;101049;66,2;64684;30879;25344;3153;3162;x;-;2146
02.02.2003;06633;    Kassel, Landkreis;192082;67,1;122788;49900;50309;10791;7376;x;-;4412
02.02.2003;06634;    Schwalm-Eder-Kreis;150036;66,9;97671;40248;39402;6549;8245;x;-;3227
02.02.2003;06635;    Waldeck-Frankenberg, Landkreis;129524;62,1;78891;40046;24312;5061;6984;x;-;2488
02.02.2003;06636;    Werra-Meiﬂner-Kreis;89139;64,9;56313;24510;22498;3706;3693;x;-;1906
07.02.1999;06;Hessen;4282397;66,4;2800372;1215783;1102544;201194;142845;-;-;138006
07.02.1999;064;  Darmstadt, Regierungsbezirk;2543293;65,9;1650741;732991;608219;138334;90979;-;-;80218
07.02.1999;06411;    Darmstadt, kreisfreie Stadt, Wissenschaftsstadt;96419;63,5;60370;22664;23476;8728;3638;-;-;1864
07.02.1999;06412;    Frankfurt am Main, kreisfreie Stadt;378628;63,8;238096;99311;79531;33827;14271;-;-;11156
07.02.1999;06413;    Offenbach am Main, kreisfreie Stadt;68426;60,5;40744;17706;14332;4190;1851;-;-;2665
07.02.1999;06414;    Wiesbaden, kreisfreie Stadt, Landeshauptstadt;184554;64,5;117444;52013;42717;9826;6781;-;-;6107
07.02.1999;06431;    Bergstraﬂe, Landkreis;192907;65,2;123633;57409;47302;6627;5412;-;-;6883
07.02.1999;06432;    Darmstadt-Dieburg, Landkreis;202164;67,9;134745;54494;55803;11070;7218;-;-;6160
07.02.1999;06433;    Groﬂ-Gerau, Landkreis;165656;67,1;109135;41613;46853;10279;4498;-;-;5892
07.02.1999;06434;    Hochtaunuskreis;161038;70,1;111393;55577;33567;8094;10050;-;-;4105
07.02.1999;06435;    Main-Kinzig-Kreis;289243;61,2;174336;77663;70663;9683;7049;-;-;9278
07.02.1999;06436;    Main-Taunus-Kreis;157121;71,5;111103;55967;33271;8164;8198;-;-;5503
07.02.1999;06437;    Odenwaldkreis;71181;70,3;49083;19015;22441;2839;1800;-;-;2988
07.02.1999;06438;    Offenbach, Landkreis;230854;67,2;152960;75209;52007;10827;7874;-;-;7043
07.02.1999;06439;    Rheingau-Taunus-Kreis;133696;68,7;90502;42628;32527;6103;5471;-;-;3773
07.02.1999;06440;    Wetteraukreis;211406;66,1;137197;61722;53729;8077;6868;-;-;6801
07.02.1999;065;  Gieﬂen, Regierungsbezirk;776457;65,1;496762;221849;195651;29264;23517;-;-;26481
07.02.1999;06531;    Gieﬂen, Landkreis;183714;66,5;120260;49946;47274;8779;7363;-;-;6898
07.02.1999;06532;    Lahn-Dill-Kreis;192065;62,7;118595;54555;46187;5011;5211;-;-;7631
07.02.1999;06533;    Limburg-Weilburg, Landkreis;128174;66,2;83477;44197;29888;3223;3070;-;-;3099
07.02.1999;06534;    Marburg-Biedenkopf, Landkreis;181248;66,6;118326;49561;47920;9843;4754;-;-;6248
07.02.1999;06535;    Vogelsbergkreis;91256;62,6;56104;23590;24382;2408;3119;-;-;2605
07.02.1999;066;  Kassel, Regierungsbezirk;962647;69,0;652869;260943;298674;33596;28349;-;-;31307
07.02.1999;06611;    Kassel, kreisfreie Stadt, documenta-Stadt;139589;64,3;88228;32175;38918;9614;4042;-;-;3479
07.02.1999;06631;    Fulda, Landkreis;160897;69,8;110595;66430;30482;4082;4040;-;-;5561
07.02.1999;06632;    Hersfeld-Rotenburg, Landkreis;102268;70,5;70986;26150;35323;2459;2333;-;-;4721
07.02.1999;06633;    Kassel, Landkreis;190630;71,2;133118;44148;72049;6666;5013;-;-;5242
07.02.1999;06634;    Schwalm-Eder-Kreis;149529;71,8;105632;36129;55148;4637;5309;-;-;4409
07.02.1999;06635;    Waldeck-Frankenberg, Landkreis;128785;64,4;81745;34488;34787;3298;4982;-;-;4190
07.02.1999;06636;    Werra-Meiﬂner-Kreis;90949;70,0;62565;21423;31967;2840;2630;-;-;3705
19.02.1995;06;Hessen;4275027;66,3;2768821;1084146;1051452;309897;206173;-;-;117153
19.02.1995;064;  Darmstadt, Regierungsbezirk;2540689;65,6;1629172;649829;569823;205832;127034;-;-;76654
