GENESIS-Tabelle: 14333-01-03-4
Landtagswahlen: Niedersachsen - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Niedersachsen;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
15.10.2017;03460;    Vechta, Landkreis;100585;63,5;63561;36633;13046;3425;5069;1597;2667;1124
15.10.2017;03461;    Wesermarsch, Landkreis;69810;58,7;40765;12880;16710;3179;3219;1716;2165;896
15.10.2017;03462;    Wittmund, Landkreis;45837;60,3;27477;9340;11449;1674;1918;999;1586;511
20.01.2013;03;Niedersachsen;6097697;59,4;3574900;1287549;1165419;489473;354970;112212;-;165277
20.01.2013;031;  Braunschweig, Statistische Region;1250334;58,8;725445;241849;262407;98478;59417;25931;-;37363
20.01.2013;03101;    Braunschweig, kreisfreie Stadt;192582;59,9;114222;33886;38460;21255;9424;4850;-;6347
20.01.2013;03102;    Salzgitter, kreisfreie Stadt;75483;52,5;38983;12038;17182;3607;2360;1612;-;2184
20.01.2013;03103;    Wolfsburg, kreisfreie Stadt;92716;53,1;48597;18287;17404;5298;3568;1560;-;2480
20.01.2013;03151;    Gifhorn, Landkreis;133875;59,0;78020;30701;25359;9220;6419;2061;-;4260
20.01.2013;03152;    Göttingen, Landkreis;195085;60,1;115857;35853;37631;22097;9136;4672;-;6468
20.01.2013;03153;    Goslar, Landkreis;113039;56,3;62795;22030;22992;6477;5783;2607;-;2906
20.01.2013;03154;    Helmstedt, Landkreis;74399;58,0;42523;15445;15737;4616;3078;1251;-;2396
20.01.2013;03155;    Northeim, Landkreis;110893;61,1;66147;21616;25974;7094;6541;1997;-;2925
20.01.2013;03156;    Osterode am Harz, Landkreis;62618;56,7;34929;11932;13839;3051;3134;985;-;1988
20.01.2013;03157;    Peine, Landkreis;102589;61,4;62149;19640;25515;7153;4946;2116;-;2779
20.01.2013;03158;    Wolfenbüttel, Landkreis;97055;63,8;61223;20421;22314;8610;5028;2220;-;2630
20.01.2013;03159;    Göttingen, Landkreis;-;-;-;-;-;-;-;-;-;-
20.01.2013;032;  Hannover, Statistische Region;1629478;60,6;975445;315083;345294;140413;98209;31075;-;45371
20.01.2013;03241;    Region Hannover, Landkreis;844280;62,4;520992;154683;185548;82480;54563;17950;-;25768
20.01.2013;03241001;    Hannover, Landeshauptstadt;373048;60,6;223829;55756;80170;44350;22372;9679;-;11502
20.01.2013;03251;    Diepholz, Landkreis;167606;57,6;95472;36248;28664;12779;11187;2587;-;4007
20.01.2013;03252;    Hameln-Pyrmont, Landkreis;119178;56,3;66311;23234;23299;8371;5866;2397;-;3144
20.01.2013;03254;    Hildesheim, Landkreis;219712;61,2;132678;45396;49805;17329;10471;3944;-;5733
20.01.2013;03255;    Holzminden, Landkreis;58308;59,8;34169;9828;12571;4660;4774;924;-;1412
20.01.2013;03256;    Nienburg (Weser), Landkreis;95382;56,8;53502;21478;18065;5829;4557;1347;-;2226
20.01.2013;03257;    Schaumburg, Landkreis;125012;58,6;72321;24216;27342;8965;6791;1926;-;3081
20.01.2013;033;  Lüneburg;1326751;60,3;790251;300132;231161;114837;81228;23851;-;39042
20.01.2013;03351;    Celle, Landkreis;139195;58,3;80096;30483;23875;8887;10220;2216;-;4415
20.01.2013;03352;    Cuxhaven, Landkreis;158060;60,8;95000;41407;28181;9760;9526;2408;-;3718
20.01.2013;03353;    Harburg, Landkreis;192973;63,0;120126;45330;32693;18663;13515;3162;-;6763
20.01.2013;03354;    Lüchow-Dannenberg, Landkreis;39853;60,5;23781;7492;5588;5632;2077;1916;-;1076
20.01.2013;03355;    Lüneburg, Landkreis;138159;60,6;82437;24957;23520;18362;7492;3195;-;4911
20.01.2013;03356;    Osterholz, Landkreis;88642;58,1;50843;17885;16659;7845;4039;2213;-;2202
20.01.2013;03357;    Rotenburg (Wümme), Landkreis;127687;61,4;77476;32170;21868;10261;8211;1645;-;3321
20.01.2013;03358;    Heidekreis;108209;59,6;63747;25185;19740;7500;6204;1915;-;3203
20.01.2013;03359;    Stade, Landkreis;154249;58,4;88947;35548;26074;11565;9424;2124;-;4212
20.01.2013;03360;    Uelzen, Landkreis;75813;61,0;45604;17215;13797;6480;4540;1296;-;2276
20.01.2013;03361;    Verden, Landkreis;103911;60,5;62194;22460;19166;9882;5980;1761;-;2945
20.01.2013;034;  Weser-Ems, Statistische Region;1891134;58,0;1083759;430485;326557;135745;116116;31355;-;43501
20.01.2013;03401;    Delmenhorst, kreisfreie Stadt;57516;49,5;28080;9553;9688;3618;2301;1096;-;1824
20.01.2013;03402;    Emden, kreisfreie Stadt;39148;51,3;19782;3882;9674;3000;1465;844;-;917
20.01.2013;03403;    Oldenburg (Oldenburg), kreisfreie Stadt;125243;59,8;74215;17973;22313;18169;7720;4292;-;3748
20.01.2013;03404;    Osnabrück, kreisfreie Stadt;119682;57,6;68141;20923;20080;13890;7663;2600;-;2985
20.01.2013;03405;    Wilhelmshaven, kreisfreie Stadt;64390;52,3;33039;11414;11493;4145;2820;1555;-;1612
20.01.2013;03451;    Ammerland, Landkreis;94083;60,0;55767;20029;16089;8240;7580;1535;-;2294
20.01.2013;03452;    Aurich, Landkreis;151399;56,0;82947;23467;35452;10274;6744;3098;-;3912
20.01.2013;03453;    Cloppenburg, Landkreis;116722;55,1;63486;35748;12347;4210;7963;1240;-;1978
20.01.2013;03454;    Emsland, Landkreis;234868;60,2;140160;78362;29083;10747;15400;2420;-;4148
20.01.2013;03455;    Friesland, Landkreis;79922;59,2;46717;14517;17900;5743;5239;1336;-;1982
20.01.2013;03456;    Grafschaft Bentheim, Landkreis;96291;59,3;56643;25656;17044;5321;5719;1198;-;1705
20.01.2013;03457;    Leer, Landkreis;127853;56,4;71011;24039;27501;8007;6043;2164;-;3257
20.01.2013;03458;    Oldenburg, Landkreis;98696;61,2;59731;20551;16715;9267;8547;1735;-;2916
20.01.2013;03459;    Osnabrück, Landkreis;270752;60,2;161355;67793;47047;19927;17029;3620;-;5939
20.01.2013;03460;    Vechta, Landkreis;98613;60,0;58536;33806;10498;4022;7351;851;-;2008
20.01.2013;03461;    Wesermarsch, Landkreis;70471;56,1;38947;13332;14086;4704;4181;1211;-;1433
20.01.2013;03462;    Wittmund, Landkreis;45485;56,3;25202;9440;9547;2461;2351;560;-;843
27.01.2008;03;Niedersachsen;6087297;57,1;3425426;1456742;1036727;274221;279826;243361;-;134549
27.01.2008;031;  Braunschweig, Statistische Region;1263011;57,2;710602;276493;241568;54767;53255;56762;-;27757
27.01.2008;03101;    Braunschweig, kreisfreie Stadt;187773;57,2;106089;39106;33148;11695;8580;10131;-;3429
27.01.2008;03102;    Salzgitter, kreisfreie Stadt;78313;54,5;41776;15656;16405;1793;2398;3688;-;1836
27.01.2008;03103;    Wolfsburg, kreisfreie Stadt;90631;51,6;45996;19834;14496;2994;3078;3617;-;1977
27.01.2008;03151;    Gifhorn, Landkreis;132690;57,0;74634;34121;22739;4667;5193;5029;-;2885
27.01.2008;03152;    Göttingen, Landkreis;197408;57,6;112052;40622;35484;14348;8466;9148;-;3984
27.01.2008;03153;    Goslar, Landkreis;117351;56,1;64532;25313;22024;3478;5137;5806;-;2774
27.01.2008;03154;    Helmstedt, Landkreis;76604;56,6;42594;16977;14553;2362;2913;3345;-;2444
27.01.2008;03155;    Northeim, Landkreis;115209;58,9;66588;24624;25109;3722;6342;4445;-;2346
27.01.2008;03156;    Osterode am Harz, Landkreis;65607;55,9;36069;14028;13535;1770;2664;2453;-;1619
27.01.2008;03157;    Peine, Landkreis;103355;58,3;59418;22285;22734;3304;4139;4797;-;2159
27.01.2008;03158;    Wolfenbüttel, Landkreis;98070;63,0;60854;23927;21341;4634;4345;4303;-;2304
27.01.2008;03159;    Göttingen, Landkreis;-;-;-;-;-;-;-;-;-;-
27.01.2008;032;  Hannover, Statistische Region;1636287;57,5;927728;365543;297956;79872;82016;67323;-;35018
27.01.2008;03241;    Region Hannover, Landkreis;838355;58,1;481253;180881;153343;48135;43810;36950;-;18134
27.01.2008;03241001;    Hannover, Landeshauptstadt;-;-;-;-;-;-;-;-;-;-
27.01.2008;03251;    Diepholz, Landkreis;167061;56,0;92316;39970;25885;6796;10409;6274;-;2982
27.01.2008;03252;    Hameln-Pyrmont, Landkreis;122447;54,6;65809;26653;21378;4393;5135;5121;-;3129
27.01.2008;03254;    Hildesheim, Landkreis;223608;59,2;130399;53130;43432;10140;9313;9520;-;4864
27.01.2008;03255;    Holzminden, Landkreis;60959;57,8;34459;12197;11799;2111;4899;2165;-;1288
27.01.2008;03256;    Nienburg (Weser), Landkreis;96785;54,9;52375;24199;16751;3223;3358;2780;-;2064
27.01.2008;03257;    Schaumburg, Landkreis;127072;56,7;71117;28513;25368;5074;5092;4513;-;2557
27.01.2008;033;  Lüneburg;1319722;56,8;739809;325912;203437;65916;60557;50872;-;33115
27.01.2008;03351;    Celle, Landkreis;140539;54,2;75203;35326;19783;4666;7249;4545;-;3634
27.01.2008;03352;    Cuxhaven, Landkreis;159513;56,8;89244;38849;26629;6436;6668;7010;-;3652
27.01.2008;03353;    Harburg, Landkreis;187824;58,4;108299;49569;26251;10399;10306;6781;-;4993
27.01.2008;03354;    Lüchow-Dannenberg, Landkreis;40810;56,8;22792;9099;5240;3245;1571;2579;-;1058
27.01.2008;03355;    Lüneburg, Landkreis;135345;57,3;76667;28617;21012;11639;6152;6319;-;2928
27.01.2008;03356;    Osterholz, Landkreis;87840;56,3;48758;19535;14878;4392;3668;4262;-;2023
27.01.2008;03357;    Rotenburg (Wümme), Landkreis;126885;59,2;74137;35598;19353;5719;6421;4067;-;2979
27.01.2008;03358;    Heidekreis;109146;55,0;59150;27406;17031;3744;4439;3925;-;2605
27.01.2008;03359;    Stade, Landkreis;152174;55,4;83016;38435;23008;6606;6303;4837;-;3827
27.01.2008;03360;    Uelzen, Landkreis;76876;58,6;44387;19764;13114;3525;2878;2480;-;2626
27.01.2008;03361;    Verden, Landkreis;102770;57,3;58156;23714;17138;5545;4902;4067;-;2790
27.01.2008;034;  Weser-Ems, Statistische Region;1868277;56,9;1047287;488794;293766;73666;83998;68404;-;38659
27.01.2008;03401;    Delmenhorst, kreisfreie Stadt;57417;49,5;27970;10081;9769;1620;2047;2839;-;1614
27.01.2008;03402;    Emden, kreisfreie Stadt;39084;50,2;19241;5378;8236;1761;1390;1756;-;720
27.01.2008;03403;    Oldenburg (Oldenburg), kreisfreie Stadt;121943;56,3;67846;20552;20723;10554;6375;7069;-;2573
27.01.2008;03404;    Osnabrück, kreisfreie Stadt;117543;57,1;66310;25419;19082;7896;6920;5131;-;1862
27.01.2008;03405;    Wilhelmshaven, kreisfreie Stadt;65040;51,7;32838;12168;9601;2527;2671;3714;-;2157
27.01.2008;03451;    Ammerland, Landkreis;90756;58,1;51959;22141;14966;4733;5372;3024;-;1723
27.01.2008;03452;    Aurich, Landkreis;149373;55,9;81419;29123;31835;5376;4103;6891;-;4091
27.01.2008;03453;    Cloppenburg, Landkreis;114224;54,4;61188;39825;10309;1931;4973;2481;-;1669
27.01.2008;03454;    Emsland, Landkreis;232546;58,4;134177;83777;24537;6037;9933;5486;-;4407
