GENESIS-Tabelle: 14343-01-04-4
Landtagswahlen: Mecklenburg-Vorpommern - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Mecklenburg-Vorpommern;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
22.09.2002;13006;    Wismar, Hansestadt,  kreisfreie Stadt;36814;71,3;25689;6061;13518;687;1082;3405;-;936
22.09.2002;13051;    Bad Doberan, Landkreis;94742;74,1;68128;21228;27119;1929;3656;10973;-;3223
22.09.2002;13052;    Landkreis Demmin;73788;68,6;49067;19210;17249;694;2226;7582;-;2106
22.09.2002;13053;    Güstrow, Landkreis;88617;69,5;59970;19280;24884;1320;2828;8827;-;2831
22.09.2002;13054;    Landkreis Ludwigslust;104577;72,4;74118;20522;35167;1686;3247;10381;-;3115
22.09.2002;13055;    Mecklenburg-Strelitz, Landkreis;70123;71,3;48723;16163;18880;1058;2520;8067;-;2035
22.09.2002;13056;    Landkreis Müritz;56106;71,6;38904;11949;16751;1034;1973;5772;-;1425
22.09.2002;13057;    Nordvorpommern, Landkreis;94627;68,9;63277;24450;22567;1192;2757;9634;-;2677
22.09.2002;13058;    Landkreis Nordwestmecklenburg;95268;69,7;65049;19516;28535;1972;3029;9270;-;2727
22.09.2002;13059;    Ostvorpommern, Landkreis;91674;68,2;60969;23786;21002;1020;2915;9540;-;2706
22.09.2002;13060;    Landkreis Parchim;85971;71,8;60341;18210;25673;1519;3354;9008;-;2577
22.09.2002;13061;    Rügen, Landkreis;59819;64,8;37774;13572;13146;820;1778;6501;-;1957
22.09.2002;13062;    Landkreis Uecker-Randow;66341;69,9;44891;16452;15092;694;2019;8405;-;2229
22.09.2002;13071;    Mecklenburgische Seenplatte, Landkreis;-;-;-;-;-;-;-;-;-;-
22.09.2002;13072;    Landkreis Rostock;-;-;-;-;-;-;-;-;-;-
22.09.2002;13073;    Vorpommern-Rügen, Landkreis;-;-;-;-;-;-;-;-;-;-
22.09.2002;13074;    Nordwestmecklenburg, Landkreis;-;-;-;-;-;-;-;-;-;-
22.09.2002;13075;    Vorpommern-Greifswald, Landkreis;-;-;-;-;-;-;-;-;-;-
22.09.2002;13076;    Ludwigslust-Parchim, Landkreis;-;-;-;-;-;-;-;-;-;-
27.09.1998;13;Mecklenburg-Vorpommern;1404552;79,4;1084611;327948;371885;29240;17062;264299;-;74177
27.09.1998;13001;    Greifswald, Hansestadt, kreisfreie Stadt;43726;77,9;33266;11263;9486;1263;539;8299;-;2416
27.09.1998;13002;    Neubrandenburg, Stadt,  kreisfreie Stadt;60082;80,9;47754;12248;15937;1398;593;14718;-;2860
27.09.1998;13003;    Rostock, kreisfreie Stadt;166652;79,2;129384;28319;48799;4710;1776;39139;-;6641
27.09.1998;13004;    Schwerin, kreisfreie Stadt;84411;78,9;65589;15366;23423;2589;898;19821;-;3492
27.09.1998;13005;    Stralsund, Hansestadt,  kreisfreie Stadt;49960;73,5;35755;11455;11364;1021;447;8014;-;3454
27.09.1998;13006;    Wismar, Hansestadt,  kreisfreie Stadt;37747;78,7;29110;7578;12641;731;383;6000;-;1777
27.09.1998;13051;    Bad Doberan, Landkreis;86138;81,6;68559;20674;24210;1948;1228;16558;-;3941
27.09.1998;13052;    Landkreis Demmin;75405;79,7;57214;21748;16936;977;926;12149;-;4478
27.09.1998;13053;    Güstrow, Landkreis;88679;80,2;69007;20780;24630;1731;1319;15960;-;4587
27.09.1998;13054;    Landkreis Ludwigslust;100835;80,0;78494;22758;30630;1991;1211;17489;-;4415
27.09.1998;13055;    Mecklenburg-Strelitz, Landkreis;68972;82,1;54861;17627;18266;1402;933;12414;-;4219
27.09.1998;13056;    Landkreis Müritz;55091;80,5;42980;12991;15853;1373;630;9366;-;2767
27.09.1998;13057;    Nordvorpommern, Landkreis;93188;80,5;72546;25435;22866;1455;1011;16139;-;5640
27.09.1998;13058;    Landkreis Nordwestmecklenburg;91123;78,1;69268;20253;26542;1850;1084;15121;-;4418
27.09.1998;13059;    Ostvorpommern, Landkreis;90178;79,3;69273;25983;19539;1157;1070;15250;-;6274
27.09.1998;13060;    Landkreis Parchim;84209;80,2;65634;20100;22647;1790;1297;15695;-;4105
27.09.1998;13061;    Rügen, Landkreis;59925;76,5;44238;15026;12654;947;945;10607;-;4059
27.09.1998;13062;    Landkreis Uecker-Randow;68231;78,7;51679;18344;15462;907;772;11560;-;4634
27.09.1998;13071;    Mecklenburgische Seenplatte, Landkreis;-;-;-;-;-;-;-;-;-;-
27.09.1998;13072;    Landkreis Rostock;-;-;-;-;-;-;-;-;-;-
27.09.1998;13073;    Vorpommern-Rügen, Landkreis;-;-;-;-;-;-;-;-;-;-
27.09.1998;13074;    Nordwestmecklenburg, Landkreis;-;-;-;-;-;-;-;-;-;-
27.09.1998;13075;    Vorpommern-Greifswald, Landkreis;-;-;-;-;-;-;-;-;-;-
27.09.1998;13076;    Ludwigslust-Parchim, Landkreis;-;-;-;-;-;-;-;-;-;-
__________
"zu ""gesamte Tabelle"":
Mecklenburg-Vorpommern (1998): Briefwahlergebnisse der
kreisfreien Stadt Stralsund teilweise im Kreis
Nordvorpommern, des Landkreises Müritz teilweise im
Landkreis Mecklenburg-Strelitz enthalten.
 
zu ""Gültige Stimmen"":
Mecklenburg-Vorpommern: Zweitstimmen
 
zu ""Gültigen Stimmen nach Parteien"":
Mecklenburg-Vorpommern: Zweitstimmen
 
zu ""CDU/CSU"":
CSU nur in Bayern"
"© Statistische Ämter des Bundes und der Länder, Deutschland, 2023.
Dieses Werk ist lizenziert unter der Datenlizenz Deutschland
- Namensnennung - Version 2.0."
Stand: 14.11.2023 / 11:26:59
