GENESIS-Tabelle: 14344-01-03-4
Landtagswahlen: Sachsen - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Sachsen;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
30.08.2009;14628;    Sächsische Schweiz-Osterzgebirge, Landkreis;215441;56,1;118802;52335;8837;5778;12411;22545;-;16896
30.08.2009;147;  Leipzig, Statistische Region;821935;49,3;398208;145842;52957;32557;34923;86373;-;45556
30.08.2009;14713;    Leipzig, kreisfreie Stadt;412933;48,9;199196;62310;28848;23721;16950;45791;-;21576
30.08.2009;14729;    Leipzig, Landkreis;230798;51,2;116136;49193;14526;5388;10224;22897;-;13908
30.08.2009;14730;    Nordsachsen, Landkreis;178204;47,5;82876;34339;9583;3448;7749;17685;-;10072
19.09.2004;14;Sachsen;3554542;59,6;2080135;855203;204438;106771;122605;490488;-;300630
19.09.2004;141;  Chemnitz, Regierungsbezirk;1305490;59,0;755497;318559;72295;25122;44323;179620;-;115578
19.09.2004;14161;    Chemnitz, kreisfreie Stadt;208097;60,3;123350;46013;14451;6268;6540;34221;-;15857
19.09.2004;14166;    Plauen, kreisfreie Stadt;58093;55,4;31492;11061;3523;1390;2402;8450;-;4666
19.09.2004;14167;    Zwickau, kreisfreie Stadt;84085;53,3;43936;16555;4748;1598;2129;12468;-;6438
19.09.2004;14171;    Annaberg, Landkreis;70798;63,2;43901;20719;3009;1106;2388;8306;-;8373
19.09.2004;14173;    Chemnitzer Land, Landkreis;114308;58,4;65602;27559;6779;2118;4471;14884;-;9791
19.09.2004;14177;    Freiberg, Landkreis;121449;62,4;74375;33621;6274;2605;4648;16696;-;10531
19.09.2004;14178;    Vogtlandkreis;164126;54,3;87608;36102;8721;2608;5591;20087;-;14499
19.09.2004;14181;    Mittlerer Erzgebirgskreis;75925;62,5;46313;20911;3438;1242;3430;9338;-;7954
19.09.2004;14182;    Mittweida, Landkreis;110871;60,4;65429;29902;6189;1782;3813;14656;-;9087
19.09.2004;14188;    Stollberg, Landkreis;76139;62,1;46252;20346;4147;1198;2333;10307;-;7921
