GENESIS-Tabelle: 14335-01-03-4
Landtagswahlen: Nordrhein-Westfalen - Wahlberechtigte und;;;;;;;;;;;;
-beteiligung, Gültige Stimmen nach Parteien;;;;;;;;;;;;
- Wahl-/Stichtag - regionale Tiefe: Kreise und krfr. Städte;;;;;;;;;;;;
Landtagswahlen: Nordrhein-Westfalen;;;;;;;;;;;;
;;;Wahlberechtigte;Wahlbeteiligung;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen;Gültige Stimmen
;;;;;;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien;Parteien
;;;;;;CDU/CSU;SPD;GRÜNE;FDP;DIE LINKE;AfD;Sonstige Parteien
;;;Anzahl;Prozent;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
14.05.2017;05512;    Bottrop, kreisfreie Stadt;88445;66,8;58346;16031;22215;2291;5545;2517;6422;3325
14.05.2017;05513;    Gelsenkirchen, kreisfreie Stadt;176670;58,0;101035;23262;38278;3910;9259;5057;14739;6530
14.05.2017;05515;    Münster, kreisfreie Stadt;231754;72,2;166251;52643;46364;20723;22489;11433;6181;6418
14.05.2017;05554;    Borken, Kreis;277372;68,6;188470;89546;49714;8561;21797;4713;8648;5491
14.05.2017;05558;    Coesfeld, Kreis;172843;71,6;122635;53097;33449;7504;15786;3676;5492;3631
14.05.2017;05562;    Recklinghausen, Kreis;473080;63,5;297285;87905;109083;12451;29605;13508;29638;15095
14.05.2017;05566;    Steinfurt, Kreis;339186;65,9;221446;89150;71424;12878;23102;7704;9973;7215
14.05.2017;05570;    Warendorf, Kreis;209472;68,0;140756;56918;42249;7882;16544;4674;7698;4791
14.05.2017;057;  Detmold, Regierungsbezirk;1544303;63,5;970399;334736;307390;64159;108457;46121;67022;42514
14.05.2017;05711;    Bielefeld, kreisfreie Stadt;237287;65,2;153144;40883;49383;15066;16949;12823;10337;7703
14.05.2017;05754;    Gütersloh, Kreis;262562;64,8;168295;63813;50697;11489;19629;6199;10062;6406
14.05.2017;05758;    Herford, Kreis;191837;61,2;115982;36032;42192;7102;11877;5017;8964;4798
14.05.2017;05762;    Höxter, Kreis;112910;65,7;73295;33293;19368;3190;8025;2357;4651;2411
14.05.2017;05766;    Lippe, Kreis;269184;63,6;169233;50050;59852;10189;19491;7115;12470;10066
14.05.2017;05770;    Minden-Lübbecke, Kreis;241610;60,7;145080;47386;52308;8273;15211;5895;10544;5463
14.05.2017;05774;    Paderborn, Kreis;228913;64,2;145370;63279;33590;8850;17275;6715;9994;5667
14.05.2017;059;  Arnsberg, Regierungsbezirk;2678579;64,0;1695168;527475;581257;92078;188881;83581;137182;84714
14.05.2017;05911;    Bochum, kreisfreie Stadt;274050;65,4;177375;44818;62641;12804;18282;13225;15407;10198
14.05.2017;05913;    Dortmund, kreisfreie Stadt;415351;62,0;255142;62054;94036;18640;26253;17130;21175;15854
14.05.2017;05914;    Hagen, kreisfreie Stadt;133010;60,2;79204;23116;27340;3525;8925;3654;8236;4408
14.05.2017;05915;    Hamm, kreisfreie Stadt;126970;63,0;79187;23545;31276;3342;7198;3429;6713;3684
14.05.2017;05916;    Herne, kreisfreie Stadt;112340;59,2;65618;15527;25742;3103;6054;3510;7423;4259
14.05.2017;05954;    Ennepe-Ruhr-Kreis;253394;66,7;167160;45896;60094;10575;20738;8435;12801;8621
14.05.2017;05958;    Hochsauerlandkreis;203390;66,4;133526;60360;35023;4893;16177;4004;7891;5178
14.05.2017;05962;    Märkischer Kreis;304934;61,3;185106;64034;59348;7550;22256;7353;16181;8384
14.05.2017;05966;    Olpe, Kreis;102799;66,5;67663;33438;16133;2201;8434;1630;3577;2250
14.05.2017;05970;    Siegen-Wittgenstein, Kreis;212986;65,0;136908;46726;44857;6931;15079;6128;11268;5919
14.05.2017;05974;    Soest, Kreis;232327;65,3;150162;53925;47501;7684;18971;6279;10414;5388
